id,executable_id,endpoint_type,endpoint_value,protocol,port,confidence_score,detection_method,context,analysis_timestamp,executable_name,exe_classification
1745,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1746,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1747,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1748,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"NL<svg width=""49"" height=""48"" viewBox=""0 0 49 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1749,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1750,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1751,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1752,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""32px"" height=""32px"" viewBox=""0 0 32 32"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1753,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1754,1,unknown,"http://www.w3.org/1999/xlink"">",,,0.8,hybrid_analysis,"<svg width=""48px"" height=""48px"" viewBox=""0 0 48 48"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1755,1,unknown,"http://www.w3.org/2000/svg"">",,,0.8,hybrid_analysis,"<svg width=""48"" height=""48"" viewBox=""0 0 48 48"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
1756,1,unknown,"http://www.w3.org/2000/svg""",,,0.8,hybrid_analysis,"<svg width=""24px"" height=""24px"" viewBox=""0 0 24 24"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">",2025-08-15T21:38:59.593108,IntraoralScan.exe,main_ui
